// requires fixed width font and 8 space tabs
// see Ch1308UnicodeNormalization.pdf for final copy but with less complete
// unicode char rendering than provided with Java

char   codepoint  #ASCII chars in decomposition
=====  =========  =============================
 🄠 	127264	              3
 🄡 	127265	              3
 🄢 	127266	              3
 🄣 	127267	              3
 🄤 	127268	              3
 🄥 	127269	              3
 🄦 	127270	              3
 🄧 	127271	              3
 🄨 	127272	              3
 🄩 	127273	              3
 🄭 	127277	              2
 🄮 	127278	              2
 🅊 	127306	              2
 🅋 	127307	              2
 🅌 	127308	              2
 🅍 	127309	              2
 🅎 	127310	              3
 🅏 	127311	              2
 🅪 	127338	              2
 🅫 	127339	              2
 🆐 	127376	              2
